context,tel_Telu
"A uniform is often viewed as projecting a positive image of an organisation. Maintaining personal hygiene is also an important aspect of personal appearance and dressing. An appearance is a bunch of attributes related with the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం."
"Ajanta, located in Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E. Outward projections of the figures, clearly defined and rhythmic lines are used in the Ajanta paintings. Body colour gets merged with the outer line creating the effect of volume. The figures are heavy like the sculptures of western India.","మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి."
"Ajanta, located in Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E. Outward projections of the figures, clearly defined and rhythmic lines are used in the Ajanta paintings. Body colour gets merged with the outer line creating the effect of volume. The figures are heavy like the sculptures of western India.","శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది."
"Ashoka got erected many monolithic pillars of sandstone, 30 to 40 feet high, crowned by animal figures like the bull, lion and elephant, inscribed with the ideas of morality, humanity and piety, which he wished his people to follow. Ashoka started making extensive use of stone for sculptures and great monuments whereas the previous tradition consisted of working with wood and clay. Famous Ashokan pillars are from Lauriya Nandangarh in Bihar, Sanchi and Sarnath.","అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు."
"Batata means potato in Portuguese. Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra. It is served hot with chutney.","మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు."
"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars as they call themselves, from the Chettinad region of Tamil Nadu state. Chettiars use a variety of sun dried meats and salted vegetables, reflecting the dry environment of the region. Most of the dishes are eaten with rice and rice based accompaniments.","చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి."
"Cinnamon is a spice derived from the bark of an evergreen tree. Cinnamon is native to India and as such, its uses range from that of a flavoring agent to a medicinal agent. Cinnamon stick is used in Indian cooking for the preparation of Pulao (also spelled Pilaf at times), Biryanis and certain curries.","దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి."
"Dry roast the cloves, cinnamon stick, cumin seeds, fennel, pepper corns, whole dry red chilies, coriander seeds and cashew nuts. Make this into powder with dry grinder or in stone pestle. Add this ground powder, salt the ginger garlic paste with the mutton marinate for hour.",దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.
"Each city in Punjab has varied preference like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products. In the preparation of Punjabi food, onion, ginger and garlic are used extensively to enhance the taste of the food. The spice content ranges from minimal to pleasant to high.","పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం."
"Failing, you will lose the merit of all your great gifts and deeds. Send Rama with the sage, and send Lakshmana too. You need have no fear for their safety, When they are protected by Viswamitra, no Rakshasa can hurt them.","రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి."
