text,hi_text
"My dear countrymen, Namaskar","मेरे प्यारे देशवासियो, नमस्कार"
"On the pious festival of Deepawali, greetings to all of you","मैं फिर एक बार, इस दीपावली के पावन पर्व पर आपको बहुतबहुत शुभकामनाएं देता हूँ"
We are familiar with the lines of the Shlok,हमारे यहाँ कहा गया है
"Shubham Karoti Kalyanam, Aarogyam Dhansampadaa",शुभम् करोति कल्याणं आरोग्यं धनसम्पदाम
"Shatrubudhdhi Vinashaay, Deepajyoti Namostute",शत्रुबुद्धिविनाशाय दीपज्योतिर्नमोस्तुते
"What a fine, purposeful message",कितना उत्तम सन्देश है
"The shlok says It is Light that ushers in joy, health and prosperity into our lives, dispelling negative thought, bringing in positivity","इस श्लोक में कहा है प्रकाश जीवन में सुख, स्वास्थ्य और समृद्धि लेकर के आता है, जो, विपरीत बुद्धि का नाश करके, सदबुद्धि दिखाता है"
I salute the divine flame respectfully,ऐसी दिव्यज्योति को मेरा नमन
"To make this Diwali memorable, what could be a better way than an attempt to let light spread its radiance, encouraging positivity, with a prayer to quell the feeling of animosity","इस दीपावली को याद रखने के लिए इससे बेहतर विचार और क्या हो सकता है कि हम प्रकाश को विस्तार दें, पॉजिटिविटी का प्रसार करें और शत्रुता की भावना को ही नष्ट करने की प्रार्थना करें ! आजकल दुनिया के अनेक देशों में दिवाली मनायी जाती है"
These days Diwali is celebrated across many countries,आज दीपावली का पावन पर्व है
"And notably, it is not limited to Indian communities; even governments, citizens and social organisations wholeheartedly celebrate Diwali with gaiety and fervour","विशेष बात यह कि इसमें सिर्फ भारतीय समुदाय शामिल होता है, ऐसा नहीं है बल्कि अब कई देशों की सरकारें, वहां के नागरिक, वहां के सामाजिक संगठन दिवाली को पूरे हर्षोल्लास के साथ मनाते हैं"
"In a way, they nurture a microcosm of India at their respective places",एक प्रकार से वहां 'भारत' खड़ा कर देते हैं
"Friends, festival tourism has its own exciting attractions","साथियो, दुनिया में फेस्टिवल टूरिज्म का अपना ही आकर्षण है"
"Our India, the country of festivals, possesses limitless possibilities in the realm of festival tourism","हमारा भारत, जो कंट्री ओएफ फेस्टिवल्स है, उसमें फेस्टिवल टूरिज्म की भी अपार संभावनाएँ हैं"
"It must be our endeavour to ensure that we should welcomingly include people of other states, other countries when we celebrate Holi, Diwali, Onam, Pongal or Bihu, spreading their true spirit","हमारा प्रयास होना चाहिये कि होली हो, दिवाली हो, ओणम हो, पोंगल हो, बिहु हो, इन जैसे त्योहारों का प्रसार करें और त्योहारों की खुशियों में, अन्य राज्यों, अन्य देशों के लोगों को भी शामिल करें"
"Here, every state, every region is replete with distinct festivals, generating a lot of interest in people from other countries","हमारे यहाँ तो हर राज्य, हर क्षेत्र के अपनेअपने इतने विभिन्न उत्सव होते हैं दूसरे देशों के लोगों की तो इनमें बहुत दिलचस्पी होती है"
"Hence, the Indian Diaspora has a significant role to play in promoting festival tourism in India","इसलिए, भारत में फेस्टिवल टूरिज्म बढ़ाने में, देश के बाहर रहने वाले भारतीयों की भूमिका भी बहुत अहम है"
"My dear countrymen, in the previous episode of Mann Ki Baat, we had decided to do something different this Diwali","मेरे प्यारे देशवासियो, पिछली 'मन की बात' में हमने तय किया था कि इस दीपावली पर कुछ अलग करेंगे"
"I had urged all of you to celebrate India's NariShakti, the power and achievement of women, thereby felicitating the Lakshmi of India","मैंने कहा था आइये, हम सभी इस दीपावली पर भारत की नारी शक्ति और उनकी उपलब्धियों को सेलिब्रेट करें, यानी भारत की लक्ष्मी का सम्मान"
"And within no time, there followed a slew of innumerable inspirational stories on social media","और देखते ही देखते, इसके तुरंत बाद, सोशल मीडिया पर अनगिनत इंस्पिरेशनल स्टोरीज का अम्बार लग गया"
"Kodipaka Ramesh from Warangal has written on Namo App""My mother is my strength",वारंगल के कोडीपाका रमेश ने NamoApp पर लिखा कि मेरी माँ मेरी शक्ति है
"In 1990, when my father expired, the responsibility to raise five sons fell on her shoulders","नाइनटीन निंटी में, 1990 में, जब मेरे पिताजी का निधन हो गया था, तो मेरी माँ ने ही पाँचों बेटों की जिम्मेदारी उठायी"
"Today, all five brothers are doing well in their respective professions",आज हम पाँचों भाई अच्छे प्रोफेशन में हैं
My mother is God to me,मेरी माँ ही मेरे लिये भगवान है
She is the Lakshmi of India in every sense of the term,मेरे लिये सब कुछ है और वो सही अर्थ में भारत की लक्ष्मी है
""" Ramesh ji , respectful greetings to your mother","रमेश जी, आपकी माताजी को मेरी प्रणाम"
"Geetika Swami, who is active on Twitter, says that for her, Major Khushbu Kanwar, daughter of a bus conductor, who has led an all women contingent of Assam Rifles, is the Lakshmi of India",ट्विटर पर एक्टिव रहने वाली गीतिका स्वामी का कहना है कि उनके लिये मेजर खुशबू कंवर 'भारत की लक्ष्मी है' जो बस कंडक्टर की बेटी है और उन्होंने असम राइफल्स की अल्ल वूमेन टुकड़ी का नेतृत्व किया था
"For Kavita Tiwari, her daughter is the Lakshmi of India, her strength","कविता तिवारी जी के लिए तो भारत की लक्ष्मी, उनकी बेटी हैं, जो उनकी ताकत भी है"
She is proud of her daughter's excellent painting ability,उन्हें गर्व है कि उनकी बेटी बेहतरीन पेंटिंग करती है
She has also secured a good rank in the CLAT exam,उसने क्लैट की परीक्षा में बहुत अच्छी रैंक भी हासिल की है
Whereas Megha Jain has mentioned that a 92 year old woman has been offering free drinking water to passengers at Gwalior Railway Station,"वहीं मेघा जैन जी ने लिखा है कि नाइनटी त्वो यियर की, 92 साल की एक बुजुर्ग महिला, वर्षों से ग्वालियर रेलवे स्टेशन पर यात्रियों को मुफ्त में पानी पिलाती है"
Megha Ji is truly inspired by the humility and compassion of this Lakshmi of India,"मेघा जी, इस भारत की लक्ष्मी की विनम्रता और करुणा से काफी प्रेरित हुई हैं"
Many such stories have been shared by people,ऐसी अनेक कहानियाँ लोगों ने शेयर की हैं
"Do read them, get inspired and share similar instances","आप जरुर पढ़िये, प्रेरणा लीजिये और खुद भी ऐसा ही कुछ अपने आसपास से शेयर कीजिये और मेरा, भारत की इन सभी लक्ष्मियों को आदरपूर्वक नमन है"
I respectfully salute all the Lakshmis of India,मेरे लिये सब कुछ है और वो सही अर्थ में भारत की लक्ष्मी है
"My dear countrymen, the well known 17th century poetess Sanchi Honnamma has penned a poem in Kannada that embodies the same thought, the same words pertaining to every Lakshmi of India that we referred to","मेरे प्यारे देशवासियो, 17वीं शताब्दी की सुप्रसिद्ध कवयित्री साँची होनम्मा सांची होन्नम्मा, उन्होंने, 17वीं शताब्दी में, कन्नड़ भाषा में, एक कविता लिखी थी"
One feels the foundation of the idea was laid in the 17th century itself,"वो भाव, वो शब्द, भारत की हर लक्ष्मी, ये जो हम बात कर रहे हैं ना ! ऐसा लगता है, जैसे कि उसका फाउंडेशन 17वीं शताब्दी में ही रच दिया गया था"
"You will notice the beauty of word, sentiment and thought in this poem in Kannada","कितने बढ़िया शब्द, कितने बढ़िया भाव और कितने उत्तम विचार, कन्नड़ भाषा की इस कविता में हैं"
Penninda permegondanu himavantanu,"पैन्निदा पर्मेगोंडनू हिमावंतनु,"
Penninda broohu perchidanu,पेन्निंदा ब्रूहू पर्चिदानु
Penninda janakaraayanu jasuvalendanu,पैन्निदा जनकरायनु जसुवलीदनू
"Which means, Himwant, Lord Mount attained fame on account of daughter Parvati, Rishi Brighu on account of his daughter Lakshmi and King Janak because of daughter Sita","अर्थात हिमवन्त यानी पर्वतराजा ने अपनी बेटी पार्वती के कारण, ऋषि भृगु ने अपनी बेटी लक्ष्मी के कारण और राजा जनक ने अपनी बेटी सीता के कारण प्रसिद्धि पायी"
"Our daughters are our pride...their prodigious virtuosity cradles our social fabric, ensuring its bright future","हमारी बेटियाँ, हमारा गौरव हैं और इन बेटियों के महात्मय से ही, हमारे समाज की, एक मजबूत पहचान है और उसका उज्ज्वल भविष्य है"
"My dear countrymen, the 12th of November, 2019 is the day when the 550th Prakashotsav of Guru Nanak dev ji will be celebrated across the world","मेरे प्यारे देशवासियो, 12 नवंबर, 2019 यह वो दिन है, जिस दिन दुनिया भर में, श्री गुरुनानक देव जी का 550वाँ प्रकाश उत्सव मनाया जाएगा"
The luminescence of Guru Nanak Dev ji's influence can be felt not only in India but around the world,गुरुनानक देव जी का प्रभाव भारत में ही नहीं बल्कि पूरे विश्व मे है
Many of our Sikh brothers and sisters settled in other countries committedly follow Guru Nanak dev ji's ideals,दुनिया के कई देशों में हमारे सिख भाईबहन बसे हुए हैं जो गुरुनानकदेव जी के आदर्शों के प्रति पूर्ण रूप से समर्पित हैं
I can never forget my visits to Gurudwaras in Vancouver and Tehran,मैं वैंकूवर वैनकूवर और तेहरान तहरान में गुरुद्वारों की अपनी यात्राओं को कभी नहीं भूल सकता
"There is much about Guru Nanak Dev ji that I can share with you, but it will require many an episode of Mann ki Baat","श्री गुरुनानकदेव जी बारे में ऐसा बहुत कुछ है जिसे मैं आपके साथ साझा कर सकता हूँ, लेकिन इसके लिए मन की बात के कई एपिसोड लग जाएंगे"
He accorded the highest significance to the spirit of service,"उन्होंने, सेवा को हमेशा सर्वोपरि रखा"
Guru Nank Dev ji firmly believed that any service done selflessly was beyond evaluation,गुरुनानकदेव जी मानते थे कि निस्वार्थ भाव से किए गए सेवा कार्य की कोई क़ीमत नहीं हो सकती
He stood firm against social ills such as untouchability,वे छुआछूत जैसे सामाजिक बुराई के खिलाफ मजबूती के साथ खड़े रहे
Sri Guru Nanak Dev ji radiated his message to all corners of the world,"श्री गुरुनानक देव जी ने अपना सन्देश, दुनिया में, दूरदूर तक पहुँचाया"
He was the widest travelled of those times,वे अपने समय में सबसे अधिक यात्रा करने वालों में से थे
