text,te_text
"My dear countrymen, Namaskar","నా ప్రియ దేశవాసులారా, నమస్కారము"
"On the pious festival of Deepawali, greetings to all of you",నేను మరొక్కసారి ఈ దీపావళి పండుగ సందర్భంగా మీకు అనేకానేక శుభాకాంక్షలు తెలుపుతున్నాను
We are familiar with the lines of the Shlok,ఈ మాటలు ఎప్పుడూ గుర్తు పెట్టుకోవాలి
"Shubham Karoti Kalyanam, Aarogyam Dhansampadaa",శుభం కరోతి కళ్యాణం ఆరోగ్యం ధనసంపదామ్ ।
"Shatrubudhdhi Vinashaay, Deepajyoti Namostute",శత్రుబుద్ధివినాశాయ దీపజ్యోతిర్నమోస్తుతే ।
"What a fine, purposeful message",ఒకే లక్ష్యాన్ని చేరుకోవాలని ఆశిస్తుంది
"The shlok says It is Light that ushers in joy, health and prosperity into our lives, dispelling negative thought, bringing in positivity","ఎంత ఉత్తమ సందేశము! ఈ శ్లోకంలో ప్రకాశం జీవితం లో సుఖం, ఆరోగ్యం, సమృద్ధి తీసుకొనివస్తుంది, అది విరోధబుద్ధిని నాశనం చేసి సద్బుద్ధి దర్శనం చేయిస్తుంది అని చెప్పారు"
I salute the divine flame respectfully,అటువంటి దివ్యజ్యోతికి నా ప్రణామములు
"To make this Diwali memorable, what could be a better way than an attempt to let light spread its radiance, encouraging positivity, with a prayer to quell the feeling of animosity","మనము ప్రకాశాన్ని విస్తరింపచేయాలని, సానుకూలభావాలను ప్రసరింపజేయాలని, ఇంకా శత్రుభావనలను నశింపజేయాలని ప్రార్థించడం అనే దాని కన్నా ఈ దీపావళిని గుర్తుంచుకోవడానికి మంచి ఆలోచన ఏముంటుంది! నేటికాలంలో ప్రపంచంలో అనేక దేశాలలో దీపావళిని జరుపుకుంటారు"
These days Diwali is celebrated across many countries,ఈ రోజు దీపావళి
"And notably, it is not limited to Indian communities; even governments, citizens and social organisations wholeheartedly celebrate Diwali with gaiety and fervour","ఇంకా విశేషమేమంటే ఈ పండుగ జరుపుకోవడంలో కేవలం భారతీయ సమాజం మాత్రమే కాక ఇప్పుడు అనేక దేశాల ప్రభుత్వాలు, అక్కడి పౌరులు, అక్కడి సాంఘిక సంస్థలు కూడా పాల్గొని దీపావళిని సంపూర్ణమైన హర్షోల్లాసాలతో జరుపుకుంటారు"
"In a way, they nurture a microcosm of India at their respective places",ఒకరకంగా అక్కడ 'భారత్' ను నెలకొల్పుతారు
"Friends, festival tourism has its own exciting attractions","సహచరులారా, ప్రపంచంలో ఫెస్టివల్ టూరిజానికి ఒక ప్రత్యేక ఆకర్షణ ఉంది"
"Our India, the country of festivals, possesses limitless possibilities in the realm of festival tourism",మన భారత్ లో దేశీయ పండుగలలో ఫెస్టివల్ జానికి అపారమైన అవకాశాలున్నాయి
"It must be our endeavour to ensure that we should welcomingly include people of other states, other countries when we celebrate Holi, Diwali, Onam, Pongal or Bihu, spreading their true spirit","హోలీ కానివ్వండి, దీపావళి కానివ్వండి, ఓనమ్ కానివ్వండి, పొంగల్ కానివ్వండి, బిహూ కానివ్వండి ఈ పండుగలను ప్రచారం చేసే ప్రయత్నం మనం చేయాలి"
"Here, every state, every region is replete with distinct festivals, generating a lot of interest in people from other countries","మనకు ప్రతి రాష్ట్రంలో, ప్రతి ప్రాంతంలో విభిన్నమైన పండుగలు ఉంటాయి"
