context,ory_Orya
"A uniform is often viewed as projecting a positive image of an organisation. Maintaining personal hygiene is also an important aspect of personal appearance and dressing. An appearance is a bunch of attributes related with the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","ଚେହେରା ହେଉଛି ସେବାରେ ନିୟୋଜିତ ବ୍ୟକ୍ତିଜଣକଙ୍କର ବୈଶିଷ୍ଟ୍ୟଗୁଡ଼ିକର ଏକ ସମାହାର, ଯଥା ତାଙ୍କ ଜୋତା, ପୋଷାକ, ଟାଇ, ଅଳଙ୍କାର, କେଶବିନ୍ୟାସ, ବେଶ-ସଜ୍ଜା, ହାତଘଣ୍ଟା, ପ୍ରସାଧନ ସାମଗ୍ରୀ, ଅତର, ଇତ୍ୟାଦି ।"
"Ajanta, located in Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E. Outward projections of the figures, clearly defined and rhythmic lines are used in the Ajanta paintings. Body colour gets merged with the outer line creating the effect of volume. The figures are heavy like the sculptures of western India.",ମହାରାଷ୍ଟ୍ରର ଔରଙ୍ଗାବାଦ୍ ଜିଲ୍ଲାରେ ଅବସ୍ଥିତ ଅଜନ୍ତାରେ ଖ୍ରୀଷ୍ଟପୂର୍ବ ପ୍ରଥମ ଶତାବ୍ଦୀରୁ ଖ୍ରୀଷ୍ଟାବ୍ଦ ପଞ୍ଚମ ଶତାବ୍ଦୀ ସମୟର ସ୍ଥାପତ୍ୟ ଓ ଚିତ୍ରକଳାରେ ସୁସଜ୍ଜିତ ଅଣତିରିଶଟି ଚୈତ୍ୟ ଓ ବିହାର ଗୁମ୍ଫା ରହିଛି।
"Ajanta, located in Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E. Outward projections of the figures, clearly defined and rhythmic lines are used in the Ajanta paintings. Body colour gets merged with the outer line creating the effect of volume. The figures are heavy like the sculptures of western India.","ଶରୀରର ରଙ୍ଗ ବାହ୍ୟ ରେଖା ସହ ମିଶିଯାଇଥାଏ, ଯାହା ଘନତ୍ୱର ପ୍ରଭାବ ସୃଷ୍ଟି କରିଥାଏ |"
"Ashoka got erected many monolithic pillars of sandstone, 30 to 40 feet high, crowned by animal figures like the bull, lion and elephant, inscribed with the ideas of morality, humanity and piety, which he wished his people to follow. Ashoka started making extensive use of stone for sculptures and great monuments whereas the previous tradition consisted of working with wood and clay. Famous Ashokan pillars are from Lauriya Nandangarh in Bihar, Sanchi and Sarnath.","ମୂର୍ତ୍ତିକଳା ଓ ପ୍ରସିଦ୍ଧ ସ୍ମାରକୀଗୁଡ଼ିକରେ ପଥରର ବ୍ୟାପକ ବ୍ୟବହାର ଅଶୋକ ଆରମ୍ଭ କରିଥିଲେ, ଯେବେକି ପୂର୍ବବର୍ତ୍ତୀ ପରମ୍ପରାରେ କାଠ ଓ ମାଟିର ବ୍ୟବହାର କରାଯାଉଥିଲା |"
"Batata means potato in Portuguese. Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra. It is served hot with chutney.","ମହାରାଷ୍ଟ୍ରର ଏହି ଲୋକପ୍ରିୟ ଓ ସ୍ୱାଦିଷ୍ଟ ଖାଦ୍ୟଟି ଆଳୁକୁ ମସଲା ସହ ମିଶାଇ, ଗୋଳା ହୋଇଥିବା ବେସନରେ ବୁଡ଼ାଇ, ତା'ପରେ ଭଲ ଭାବେ ଛଣାଯାଇ ତିଆରି କରାଯାଇଥାଏ।"
"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars as they call themselves, from the Chettinad region of Tamil Nadu state. Chettiars use a variety of sun dried meats and salted vegetables, reflecting the dry environment of the region. Most of the dishes are eaten with rice and rice based accompaniments.",ଚେଟିନାଡ୍‌ ପାକବିଧି ହେଉଛି ତାମିଲନାଡୁ ରାଜ୍ୟର ଚେଟିନାଡ୍ ଅଞ୍ଚଳର 'ନାଟୁକୋଟାଇ ଚେଟିୟାର୍' କୁହାଯାଉଥିବା ବା ନିଜକୁ 'ନାଗରଥାର୍' କହୁଥିବା ଏକ ସମ୍ପ୍ରଦାୟର ପାକବିଧି।
"Cinnamon is a spice derived from the bark of an evergreen tree. Cinnamon is native to India and as such, its uses range from that of a flavoring agent to a medicinal agent. Cinnamon stick is used in Indian cooking for the preparation of Pulao (also spelled Pilaf at times), Biryanis and certain curries.","ଡାଳଚିନି ଭାରତର ସ୍ଵଦେଶୀ, ଏବଂ ଏମିତିରେ, ଏହାର ବ୍ୟବହାର ଏକ ସ୍ଵାଦକାରୀ ଦ୍ରବ୍ୟରୁ ନେଇ ଔଷଧୀୟ ଦ୍ରବ୍ୟ ପର୍ଯ୍ୟନ୍ତ ହୋଇଥାଏ ।"
"Dry roast the cloves, cinnamon stick, cumin seeds, fennel, pepper corns, whole dry red chilies, coriander seeds and cashew nuts. Make this into powder with dry grinder or in stone pestle. Add this ground powder, salt the ginger garlic paste with the mutton marinate for hour.",ଏହାକୁ ଏକ ଶୁଖିଲା ଗ୍ରାଇଣ୍ଡର କିମ୍ବା ପଥରର ହେମଦସ୍ତା ସାହାଯ୍ୟରେ ଗୁଣ୍ଡରେ ପରିଣତ କରନ୍ତୁ ।
"Each city in Punjab has varied preference like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products. In the preparation of Punjabi food, onion, ginger and garlic are used extensively to enhance the taste of the food. The spice content ranges from minimal to pleasant to high.","ପଞ୍ଜାବର ପ୍ରତ୍ୟେକ ସହରର ଭିନ୍ନ ଭିନ୍ନ ପସନ୍ଦ ରହିଛି, ଯେପରିକି ଅମୃତସରର ଲୋକେ ବିଶେଷତଃ ଅମୃତସରୀ କୁଲ୍‌ଚା, ପୁରଦିଆ ପରଟା ଏବଂ ଦୁଗ୍ଧଜାତ ଦ୍ରବ୍ୟକୁ ଭଲପାଆନ୍ତି ।"
"Failing, you will lose the merit of all your great gifts and deeds. Send Rama with the sage, and send Lakshmana too. You need have no fear for their safety, When they are protected by Viswamitra, no Rakshasa can hurt them.","ଋଷିଙ୍କ ସାଙ୍ଗରେ ରାମଙ୍କୁ ପଠେଇ ଦିଅନ୍ତୁ, ଏବଂ ଲକ୍ଷ୍ମଣଙ୍କୁ ମଧ୍ୟ ପଠାନ୍ତୁ।"
"He also said that he had no personal malice against the officers whom he shot. If there has been any personal malice, Mangal Pandays name would have been in the list of assassins and not of martyrs. But Mangal Pandays brave deed was done through devotion to a high and noble principle.",ମାତ୍ର ମଙ୍ଗଳ ପାଣ୍ଡେଙ୍କର ସାହସିକ କାର୍ଯ୍ୟଟି ଏକ ଉଚ୍ଚ ଏବଂ ମହାନ ଆଦର୍ଶ ପ୍ରତି ଅନୁରକ୍ତି ମାଧ୍ୟମରେ କରାଯାଇଥିଲା ।
"Heat the oil in a pressure cooker and add the onions. Fry the onions till they translucent. Once the onions are translucent, add the marinated mutton with turmeric powder and saute for sometime till all the spices are absorbed in the mutton about 5-6 minutes.","ପିଆଜ ଥରେ ଅର୍ଦ୍ଧସ୍ୱଚ୍ଛ ହୋଇଗଲା ପରେ, ସେଥିରେ ମାରିନେଟ୍ କରି ରଖା ହୋଇଥିବା ମାଂସକୁ ହଳଦୀ ଗୁଣ୍ଡ ସହ ପକାନ୍ତୁ, ଏବଂ ଏହାକୁ ୫-୬ ମିନିଟ ଘାଣ୍ଟନ୍ତୁ, ଯେପର୍ଯ୍ୟନ୍ତ ମସଲା ସବୁ ମାଂସରେ ଭେଦି ନଯାଇଛି |"
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals and humans. The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour. The stories are elaborate, ending with moral messages.","ହିତୋପଦେଶ ହେଉଛି ସାଂସାରିକ ଜ୍ଞାନର ଏକ ପୁସ୍ତକ ଯାହାକି ପକ୍ଷୀ, ପଶୁ, ଏବଂ ମନୁଷ୍ୟ ଚରିତ୍ରଗୁଡ଼ିକ ମାଧ୍ୟମରେ ଉପସ୍ଥାପିତ ହୋଇଛି ।"
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals and humans. The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour. The stories are elaborate, ending with moral messages.",ସଂସ୍କୃତରେ ଭାବପ୍ରକାଶ କରିବାର ଦକ୍ଷତା ଏବଂ ବିଜ୍ଞ ବ୍ୟବହାର ସମ୍ପର୍କରେ ଜ୍ଞାନର ପ୍ରୋତ୍ସାହନ ଦେବା ଏହି ପୁସ୍ତକର ଉଦ୍ଦେଶ୍ୟ ବୋଲି ପ୍ରତୀତ ହୋଇଥାଏ।
