context,hin_Deva
"A uniform is often viewed as projecting a positive image of an organisation. Maintaining personal hygiene is also an important aspect of personal appearance and dressing. An appearance is a bunch of attributes related with the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि।"
"Ajanta, located in Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E. Outward projections of the figures, clearly defined and rhythmic lines are used in the Ajanta paintings. Body colour gets merged with the outer line creating the effect of volume. The figures are heavy like the sculptures of western India.",महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।
"Ajanta, located in Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E. Outward projections of the figures, clearly defined and rhythmic lines are used in the Ajanta paintings. Body colour gets merged with the outer line creating the effect of volume. The figures are heavy like the sculptures of western India.","विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।"
"Ashoka got erected many monolithic pillars of sandstone, 30 to 40 feet high, crowned by animal figures like the bull, lion and elephant, inscribed with the ideas of morality, humanity and piety, which he wished his people to follow. Ashoka started making extensive use of stone for sculptures and great monuments whereas the previous tradition consisted of working with wood and clay. Famous Ashokan pillars are from Lauriya Nandangarh in Bihar, Sanchi and Sarnath.","अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है।"
"Batata means potato in Portuguese. Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra. It is served hot with chutney.","महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।"
"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars as they call themselves, from the Chettinad region of Tamil Nadu state. Chettiars use a variety of sun dried meats and salted vegetables, reflecting the dry environment of the region. Most of the dishes are eaten with rice and rice based accompaniments.",चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है।
"Cinnamon is a spice derived from the bark of an evergreen tree. Cinnamon is native to India and as such, its uses range from that of a flavoring agent to a medicinal agent. Cinnamon stick is used in Indian cooking for the preparation of Pulao (also spelled Pilaf at times), Biryanis and certain curries.",दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है।
"Dry roast the cloves, cinnamon stick, cumin seeds, fennel, pepper corns, whole dry red chilies, coriander seeds and cashew nuts. Make this into powder with dry grinder or in stone pestle. Add this ground powder, salt the ginger garlic paste with the mutton marinate for hour.",सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें।
"Each city in Punjab has varied preference like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products. In the preparation of Punjabi food, onion, ginger and garlic are used extensively to enhance the taste of the food. The spice content ranges from minimal to pleasant to high.","पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं।"
"Failing, you will lose the merit of all your great gifts and deeds. Send Rama with the sage, and send Lakshmana too. You need have no fear for their safety, When they are protected by Viswamitra, no Rakshasa can hurt them.","राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।"
"He also said that he had no personal malice against the officers whom he shot. If there has been any personal malice, Mangal Pandays name would have been in the list of assassins and not of martyrs. But Mangal Pandays brave deed was done through devotion to a high and noble principle.",परंतु मंगल पांडे ने यह साहसिक कारनामा एक ऊँचे और श्रेष्ठ सिद्धांत के प्रति समर्पण के लिए किया।
"Heat the oil in a pressure cooker and add the onions. Fry the onions till they translucent. Once the onions are translucent, add the marinated mutton with turmeric powder and saute for sometime till all the spices are absorbed in the mutton about 5-6 minutes.",प्याज जब पारभासी हो जाए तो उसमें मसालों के मिश्रण में कुछ समय से रखे गए मांस और पिसी हल्दी डाल कर 5-6 मिनट तक हल्का-सा तलते रहें जब तक कि मांस सभी मसालों को सोख न ले।
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals and humans. The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour. The stories are elaborate, ending with moral messages.","हितोपदेश एक पुस्तक है जिसमें सांसारिक ज्ञान पक्षियों, पशुओं, और मनुष्यों के चरित्रों के माध्यम से प्रस्तुत किया गया है।"
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals and humans. The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour. The stories are elaborate, ending with moral messages.",ऐसा प्रतीत होता है कि पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और विवेकपूर्ण व्यवहार के ज्ञान को प्रोत्साहित करना है।
"In 1989 when there was a roaring movement for celebration of 300 years of Calcutta some eminent personalities of Howrah framed a society titled 'Howrah Jela Itihas Pranayan, Unnayan 0 Smarak Samity' and Asitbabu became the President of this Society. The main purpose of the Samity was to pen down a complete history of Howrah, the twin city of Kolkata. Professor Asitkumar Bandyopadhyay played pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.","प्रोफेसर असितकुमार बन्दोपाध्याय ने 1994 और 1995 में अपने गृह-नगर, हावड़ा के संपूर्ण इतिहास को हावड़ा शहरेर इतिवृत्त (पहला और दूसरा खंड) नाम से संकलित करने में महत्वपूर्ण भूमिका निभाई है।"
"In western India, many Buddhist caves dating back to the second century B.C.E. onward have been excavated. These include Bhaja, Kanheri, Karla, Ajanta, Ellora, Bedasa, Nashik, Junnar, Pitalkhora, etc. The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front which has a wooden facade and, in some cases, there is no dominating caitya arch window.",चैत्य के सभागृह में सामने की ओर अर्ध-वृत्ताकार चैत्य चाप रूपांकित है जिसका सामने का हिस्सा खुला है जहां पर लकड़ी का भवनमुख है और किसी-किसी में मुख्य चैत्य चाप वाली खिड़की नहीं है।
India has very rich culinary heritage that is embedded in its thousands of years of history. Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years. These are not only mouthwatering savories but usually based on strong foundations of wholesome food relevant to the local people in different seasons.,महाराजों और खानसामों (जैसा कि कुशल रसोइयों को परंपरागत रूप से भारत में कहा जाता है) की पीढ़ियों ने सदियों से इन पाक-विधियों को परिपूर्ण कर दिया है और अब ये पाक-विधियाँ सहस्रों वर्षों में मौखिक परमपरा के माध्यम से आगे बढ़ती आई हैं।
"It is considered sacrilege to serve any dishes based around pulses or lentils during this feast. The traditional number of courses for the wazwan is thirty-six, though there can be fewer. The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.","पारंपरिक रूप से रसोइयों के दल की सहायता से तैयारी वास्ता वाज़ा, या प्रधान रसोइये द्वारा की जाती है।"
"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav). The dish originated in the 1850s as a fast lunchtime dish for textile mill workers in Mumbai but later gained massive popularity. It is now offered at outlets from simple hand carts to formal restaurants in India and abroad.","पाव भाजी: यह महाराष्ट्र का एक फास्ट फूड व्यंजन है, जिसमें सब्जियों का गाढ़ा मिश्रण होता है जिसे सामान्यतया मक्खन में पकाया जाता है और एक नर्म ब्रेड रोल (पाव) के साथ परोसा जाता है।"
"Poet-saints who produced literary masterpieces include Chaitanyadeva in Bengali, Surdas in Hindi, Mira Bai in Rajasthani, Jnaneshwar in Marathi and Narsinha Mehta in Gujarati. The contribution of women writers needs special mention. The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabais compositions in Rajasthani is known for a unique devotional quality, Andals mysticism in Tamil and Akka Mahadevis vachanas in Kannnada are testimonies to the great contribution of women to literature of the time.","हब्बा खातून और लल्ल-द्यद की कश्मीरी रचनाएं उनके आध्यात्मिक अंदाज़ और गहन भावनाओं की अभिव्यक्ति के लिए जानी जाती हैं, राजस्थान में मीराबाई की रचनाएं उनकी अद्वितीय भक्ति के लिए लोकप्रिय हैं, तमिल में आण्डाल का गूढ़ ज्ञान तथा कन्नड़ में अक्का महादेवी के वचन उस समय के साहित्य में महिलाओं के व्यापक योगदान के प्रमाण हैं।"
"The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from Dhar district of Madhya Pradesh. These rock-cut cave monuments are not natural but were carved over a period of time during the Satvahana period. The Bagh caves, like those at Ajanta, were excavated on a perpendicular sandstone rock face of a hill across the seasonal stream of Baghani.","बाघ गुफाएं, जिनमें बौद्ध भित्ति चित्र बने हुए हैं, मध्य प्रदेश के धार ज़िले से 97 कि.मी. की दूरी पर स्थित हैं।"
"The Hindi terms for the root are mula and pada. The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree; but figuratively the foot or lowest part or bottom of anything. Its other meanings are basis, foundation, cause, origin, etc.","संस्कृत साहित्य में मूल शब्द का सामान्य अर्थ है किसी पौधे या वृक्ष की जड़, किंतु लाक्षणिक रूप में, यह किसी भी वस्तु का निचला हिस्सा या तल हो सकता है।"
The Indus Valley Civilisation or Harrapan civilisation spreads across in India extensively. It spread from Alamgirpur in western Uttar Pradesh (in the East) to Sutkagendor in Makaran and Bhagatrav in South Gujarat (in the West) and from Gumla and Ropar (in the North) to Daimabad in Maharastra (in the South). Indus Valley Civilisation is known for its technological knowledge in variety of fields.,सिंधु घाटी सभ्यता विभिन्न क्षेत्रों में अपने तकनीकी ज्ञान के लिए जानी जाती है।
