text,or_text
"My dear countrymen, Namaskar","ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ନମସ୍କାର"
"On the pious festival of Deepawali, greetings to all of you",ମୁଁ ପୁଣିଥରେ ଦୀପାବଳିର ଏହି ପବିତ୍ର ଉତ୍ସବ ପାଇଁ ଆପଣମାନଙ୍କୁ ବହୁତ ବହୁତ ଶୁଭକାମନା ଜଣାଉଛି
We are familiar with the lines of the Shlok,ଆମର ଶାସ୍ତ୍ରରେ କୁହାଯାଇଛି
"Shubham Karoti Kalyanam, Aarogyam Dhansampadaa","ଶୁଭମ୍ କରୋତି କଲ୍ୟାଣମ୍, ଆରୋଗ୍ୟମ୍ ଧନ ସମ୍ପଦାମ୍"
"Shatrubudhdhi Vinashaay, Deepajyoti Namostute",ଶତ୍ରୁବୁଦ୍ଧିବିନାଶାୟ ଦୀପଜ୍ୟୋତିର୍ନମୋସ୍ତୁତେ
"What a fine, purposeful message",କେତେ ଉତ୍ତମ ବାର୍ତ୍ତା
"The shlok says It is Light that ushers in joy, health and prosperity into our lives, dispelling negative thought, bringing in positivity","ଏହି ଶ୍ଳୋକରେ କୁହାଯାଇଛି ଆଲୋକ ଜୀବନରେ ସୁଖ, ସ୍ୱାସ୍ଥ୍ୟ ଓ ସମୃଦ୍ଧି ନେଇ ଆସେ, ଯାହା ବିପରୀତ ବୁଦ୍ଧିର ବିନାଶ କରି ସଦବୁଦ୍ଧିର ମାର୍ଗ ଦର୍ଶାଏ"
I salute the divine flame respectfully,ଏଭଳି ଦିବ୍ୟଜ୍ୟୋତିକୁ ମୋର ପ୍ରଣାମ
"To make this Diwali memorable, what could be a better way than an attempt to let light spread its radiance, encouraging positivity, with a prayer to quell the feeling of animosity","ଏହି ଦୀପାବଳିକୁ ସ୍ମରଣୀୟ କରିବା ପାଇଁ ଏହାଠୁ ବଳି ଭଲ ଚିନ୍ତାଧାରା ଆଉ କ'ଣ ବା ହୋଇପାରେ ଯେ ଆମେ ଆଲୋକକୁ ବିସ୍ତାରିତ କରିବା, ସକାରାତ୍ମକତାର ପ୍ରସାର କରିବା ଏବଂ ଶତ୍ରୁତା ଭାବନାକୁ ହିଁ ନଷ୍ଟ କରିବାର ପ୍ରାର୍ଥନା କରିବା"
These days Diwali is celebrated across many countries,ଆଜିକାଲି ବିଶ୍ୱର ଅନେକ ଦେଶରେ ଦୀପାବଳି ପାଳନ କରାଯାଉଛି
"And notably, it is not limited to Indian communities; even governments, citizens and social organisations wholeheartedly celebrate Diwali with gaiety and fervour","ବିଶେଷ କଥା ହେଲା, ଏଥିରେ ଯେ କେବଳ ଭାରତୀୟ ଲୋକେ ସାମିଲ ହେଉଛନ୍ତି, ତାହା ନୁହେଁ, ବରଂ ଏବେ ଅନେକ ଦେଶର ସରକାର, ସେଠାକାର ନାଗରିକମାନେ, ସେଠାକାର ସାମାଜିକ ସଂଗଠନ ଦୀପାବଳିକୁ ପୂରା ଉତ୍ସାହ ଉଦ୍ଦୀପନା ସହ ପାଳନ କରୁଛନ୍ତି"
"In a way, they nurture a microcosm of India at their respective places",ଏକ ପ୍ରକାର ସେଠାରେ 'ଭାରତ' ସୃଷ୍ଟି କରିଦେଉଛନ୍ତି
"Friends, festival tourism has its own exciting attractions","ବନ୍ଧୁଗଣ, ବିଶ୍ୱରେ ଫେଷ୍ଟିଭାଲ୍ ଅଫ ଟୁରିଜିମର ସ୍ୱତନ୍ତ୍ର ଏକ ଆକର୍ଷଣ ରହିଛି"
"Our India, the country of festivals, possesses limitless possibilities in the realm of festival tourism","ଆମ ଭାରତ ହେଉଛି ପାର୍ବଣର ଦେଶ, ଏଠି ଫେଷ୍ଟିଭାଲ୍ଟୁରିଜିମ୍ ପାଇଁ ଅସୀମ ସମ୍ଭାବନା ରହିଛି"
"It must be our endeavour to ensure that we should welcomingly include people of other states, other countries when we celebrate Holi, Diwali, Onam, Pongal or Bihu, spreading their true spirit","ଆମର ପ୍ରୟାସ ହେବା ଆବଶ୍ୟକ ଯେ, ହୋଲି ହେଉ, ଦୀପାବଳି ହେଉ, ଓଣମ୍ ହେଉ, ପୋଙ୍ଗଲ୍ ହେଉ, ବିହୁ ହେଉ, ଏଭଳି ପର୍ବପର୍ବାଣୀଗୁଡ଼ିକର ପ୍ରସାର କରିବା ଏବଂ ପର୍ବର ଖୁସିରେ ଅନ୍ୟ ରାଜ୍ୟ, ଅନ୍ୟ ଦେଶର ଲୋକଙ୍କୁ ମଧ୍ୟ ସାମିଲ୍ କରିବା"
